"","site_fac","year_fac","visits"
"1","AG-2","2018",2
"2","AG-3","2018",2
"3","AG-4","2018",2
"4","AG-5","2018",2
"5","Back Bay eelgrass","2006",5
"6","Cobble point","2006",3
"7","Eelgrass North","2011",2
"8","Eelgrass patches","2006",2
"9","Eelgrass patches","2012",2
"10","Eelgrass point","2006",4
"11","Eelgrass South","2009",2
"12","Eelgrass South","2011",2
"13","Eelgrass South","2015",2
"14","Eelgrass West","2011",3
"15","Fox-1","2018",2
"16","Fox-2","2018",2
"17","Fox-3","2018",2
"18","Jap-1","2018",2
"19","Jap-4","2018",2
"20","Jap-6","2018",2
"21","Kai-1","2018",2
"22","Kai-2","2018",2
"23","Kai-3","2018",2
"24","Kai-4","2018",2
"25","Kai-6","2018",2
"26","Kilu-4","2018",2
"27","Kilu-5","2018",2
"28","Laminaria #2","2006",5
"29","Laminaria East","2009",2
"30","Laminaria Point","2006",4
"31","Laminaria South","2011",2
"32","Middle cove","2009",2
"33","Mit-1","2018",2
"34","Mit-2","2018",2
"35","Mit-3","2018",2
"36","Mit-4","2018",2
"37","Mit-5","2018",2
"38","Mit-6","2018",2
"39","PW-1","2018",2
"40","PW-2","2018",2
"41","PW-4","2018",2
"42","RR-1","2018",2
"43","RR-2","2018",2
"44","RR-4","2018",2
"45","RR-6","2018",2
"46","Ugak-2","2018",2
"47","Ugak-4","2018",2
"48","Ugak-5","2018",2
"49","Wooden boat","2006",5
